browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,mindsCode,link,calibration,id,age,sex,nationality
Chrome,98.0.4758.81,1536,864,Windows,en-GB,2022-02-09_09:44:26,2022-02-09_09:44:26,M017750,https://www.testable.org/experiment/4597/148338/start?participant=M017750,0.83,M017750,"29",male,british

rowNo,type,stim1,stim2,stimPos,ITI,stimFormat,feedbackIncorrect,feedbackTime,head,responseType,responseOptions,if,then,fixation,button1,keyboard,key,cursor,random,trialType,correctSide,task,stimPos_actual,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
2,form,"","","","","","","",What is the highest level of education you completed?,dropdown,Less than High School; High School or Equivalent; College or Technical School; Bachelor's Degree; Master's Degree or Higher,Less than High School,screenout,"",Submit,"","","","","","","","",,"","",32934,High School or Equivalent,2541,"0","2"
125,test,lampSmall,shelfLarge,-235 0; 235 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-235 0;235 0,700,42,"16.66",385521,f,962,"1",""
61,test,hedgehogSmall,cowLarge,-357 0; 357 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-357 0;357 0,700,42,"16.66",419688,f,473,"1",""
103,test,refrigeratorSmall,corkscrewLarge,-240 0; 240 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-240 0;240 0,700,42,"16.65",421249,j,868,"0",""
30,test,rabbitLarge,tigerSmall,-306 0; 306 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-306 0;306 0,700,42,"16.66",427865,j,919,"1",""
254,test,headphonesLarge,tentSmall,-317 0; 317 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-317 0;317 0,700,42,"16.66",429225,j,663,"1",""
72,test,walrusLarge,cricketSmall,-369 0; 369 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-369 0;369 0,700,42,"16.66",430394,j,483,"1",""
233,test,featherSmall,suitcaseLarge,-338 0; 338 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-338 0;338 0,700,42,"16.66",431504,f,428,"1",""
84,test,giraffeLarge,antSmall,-317 0; 317 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-317 0;317 0,700,42,"16.66",432592,j,398,"1",""
131,test,ovenSmall,bootLarge,-280 0; 280 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-280 0;280 0,700,41,"17.07",433696,f,419,"1",""
54,test,goldfishLarge,dolphinSmall,-341 0; 341 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-341 0;341 0,700,42,"16.66",434809,j,416,"1",""
149,test,strawberrySmall,pomegranateLarge,-288 0; 288 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-288 0;288 0,700,42,"16.66",435904,f,394,"1",""
111,test,bedSmall,trayLarge,-350 0; 350 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-350 0;350 0,700,42,"16.66",436985,f,394,"1",""
165,test,chilliSmall,eggplantLarge,-274 0; 274 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-274 0;274 0,700,42,"16.66",438073,f,398,"1",""
89,test,frogSmall,deerLarge,-295 0; 295 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-295 0;295 0,700,42,"16.66",439167,f,410,"1",""
210,test,boatLarge,shipSmall,-336 0; 336 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-336 0;336 0,700,42,"16.66",440592,j,734,"1",""
216,test,wheelLarge,coinSmall,-299 0; 299 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-299 0;299 0,700,42,"16.66",441745,j,454,"1",""
154,test,raspberryLarge,orangeSmall,-308 0; 308 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-308 0;308 0,700,42,"16.66",442857,j,416,"1",""
136,test,watermelonLarge,apricotSmall,-302 0; 302 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-302 0;302 0,700,42,"16.66",444153,j,598,"1",""
145,test,cherrySmall,pineappleLarge,-226 0; 226 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-226 0;226 0,700,42,"16.66",445273,f,433,"1",""
178,test,green beanLarge,cornSmall,-349 0; 349 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-349 0;349 0,700,42,"16.66",447802,j,1829,"1",""
44,test,orangutanLarge,parrotSmall,-207 0; 207 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-207 0;207 0,700,42,"16.66",449271,j,782,"1",""
16,test,lionLarge,mouseSmall,-334 0; 334 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-334 0;334 0,700,42,"16.66",451712,j,1741,"1",""
85,test,antSmall,giraffeLarge,-317 0; 317 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-317 0;317 0,700,42,"16.67",452882,f,478,"1",""
176,test,cornLarge,green beanSmall,-348 0; 348 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-348 0;348 0,700,42,"16.66",454217,j,648,"1",""
221,test,houseSmall,leafLarge,-342 0; 342 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-342 0;342 0,700,42,"16.66",455367,f,465,"1",""
156,test,melonLarge,plumSmall,-330 0; 330 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-330 0;330 0,700,42,"16.66",456663,j,611,"1",""
43,test,orangutanSmall,parrotLarge,-198 0; 198 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-198 0;198 0,700,42,"16.67",457752,f,401,"1",""
157,test,plumSmall,melonLarge,-330 0; 330 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-330 0;330 0,700,42,"16.66",458929,f,477,"1",""
123,test,shelfSmall,lampLarge,-235 0; 235 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-235 0;235 0,700,42,"16.66",460552,f,935,"1",""
173,test,oliveSmall,lettuceLarge,-365 0; 365 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-365 0;365 0,700,42,"16.66",461817,f,566,"1",""
73,test,cricketSmall,walrusLarge,-369 0; 369 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-369 0;369 0,700,42,"16.67",463063,f,546,"1",""
67,test,horseSmall,chickLarge,-337 0; 337 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-337 0;337 0,700,42,"16.67",464360,f,611,"1",""
23,test,hippoSmall,turtleLarge,-365 0; 365 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-365 0;365 0,700,42,"16.66",465608,f,560,"1",""
252,test,tentLarge,headphonesSmall,-322 0; 322 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-322 0;322 0,700,42,"16.67",466873,j,573,"1",""
191,test,truckSmall,mopedLarge,-312 0; 312 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-312 0;312 0,699,42,"16.66",468392,f,827,"1",""
63,test,pandaSmall,chickenLarge,-338 0; 338 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-338 0;338 0,700,42,"16.66",469511,f,431,"1",""
57,test,wolfSmall,bearLarge,-295 0; 295 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-295 0;295 0,700,41,"17.07",470624,f,426,"1",""
87,test,deerSmall,frogLarge,-299 0; 299 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-299 0;299 0,700,42,"16.67",471752,f,438,"1",""
160,test,pumpkinLarge,mushroomSmall,-304 0; 304 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-304 0;304 0,700,42,"16.66",473103,j,656,"1",""
195,test,helicopterSmall,tricycleLarge,-356 0; 356 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-356 0;356 0,700,42,"16.66",474272,f,476,"1",""
48,test,zebraLarge,duckSmall,-311 0; 311 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-311 0;311 0,700,42,"16.66",475383,j,421,"1",""
34,test,squirrelLarge,gorillaSmall,-306 0; 306 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-306 0;306 0,700,42,"16.66",476858,j,780,"1",""
20,test,alligatorLarge,shrimpSmall,-337 0; 337 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-337 0;337 0,700,42,"16.67",478320,j,943,"1",""
237,test,keySmall,trashbinLarge,-208 0; 208 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-208 0;208 0,700,42,"16.66",479727,f,716,"1",""
228,test,skyscraperLarge,graterSmall,-220 0; 220 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-220 0;220 0,700,42,"16.66",481040,j,614,"1",""
139,test,coconutSmall,blueberryLarge,-309 0; 309 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-309 0;309 0,700,42,"16.66",482154,f,428,"1",""
133,test,bootSmall,ovenLarge,-273 0; 273 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-273 0;273 0,700,42,"16.65",483248,f,406,"1",""
106,test,corkscrewLarge,refrigeratorSmall,-240 0; 240 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-240 0;240 0,700,42,"16.65",484528,j,585,"1",""
140,test,coconutLarge,blueberrySmall,-303 0; 303 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-303 0;303 0,700,42,"16.66",485674,j,449,"1",""
127,test,dishwasherSmall,backpackLarge,-262 0; 262 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-262 0;262 0,700,42,"16.66",487112,f,753,"1",""
142,test,blueberryLarge,coconutSmall,-309 0; 309 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-309 0;309 0,700,42,"16.66",488192,j,384,"1",""
90,test,frogLarge,deerSmall,-299 0; 299 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-299 0;299 0,700,42,"16.66",489312,j,421,"1",""
215,test,wheelSmall,coinLarge,-300 0; 300 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-300 0;300 0,700,42,"16.66",490418,f,409,"1",""
218,test,coinLarge,wheelSmall,-300 0; 300 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-300 0;300 0,700,42,"16.66",491481,j,375,"1",""
194,test,mopedLarge,truckSmall,-312 0; 312 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-312 0;312 0,700,31,"22.57",492863,j,689,"1",""
28,test,tigerLarge,rabbitSmall,-301 0; 301 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-301 0;301 0,699,42,"16.66",493992,j,436,"1",""
146,test,cherryLarge,pineappleSmall,-223 0; 223 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-223 0;223 0,700,42,"16.66",495415,j,726,"1",""
24,test,hippoLarge,turtleSmall,-366 0; 366 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-366 0;366 0,700,42,"16.66",496539,j,433,"1",""
175,test,cornSmall,green beanLarge,-349 0; 349 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-349 0;349 0,700,42,"16.66",498073,f,834,"1",""
223,test,treeSmall,lighterLarge,-192 0; 192 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-192 0;192 0,699,42,"16.66",499351,f,580,"1",""
70,test,chickLarge,horseSmall,-337 0; 337 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-337 0;337 0,700,42,"16.66",500481,j,444,"1",""
199,test,schoolbusSmall,bikeLarge,-366 0; 366 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-366 0;366 0,700,42,"16.67",501712,f,542,"1",""
68,test,horseLarge,chickSmall,-342 0; 342 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-342 0;342 0,700,42,"16.66",502887,j,484,"1",""
166,test,chilliLarge,eggplantSmall,-274 0; 274 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-274 0;274 0,700,42,"16.66",504583,j,997,"1",""
110,test,hammerLarge,ladderSmall,-156 0; 156 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-156 0;156 0,700,42,"16.67",505880,j,612,"1",""
32,test,gorillaLarge,squirrelSmall,-306 0; 306 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-306 0;306 0,700,42,"16.66",507095,j,526,"1",""
225,test,lighterSmall,treeLarge,-208 0; 208 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-208 0;208 0,700,42,"16.66",508201,f,417,"1",""
58,test,wolfLarge,bearSmall,-301 0; 301 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-301 0;301 0,700,42,"16.65",509399,j,498,"1",""
192,test,truckLarge,mopedSmall,-322 0; 322 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-322 0;322 0,700,42,"16.66",510521,j,436,"1",""
52,test,dolphinLarge,goldfishSmall,-341 0; 341 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-341 0;341 0,700,42,"16.67",512002,j,784,"1",""
