browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,mindsCode,link,calibration,id,age,sex,nationality
Chrome,98.0.4758.82,1536,864,Windows,en-IN,2022-02-09_09:44:16,2022-02-09_15:14:16,M085754,https://www.testable.org/experiment/4597/148338/start?participant=M085754,0.91,M085754,"23",male,India

rowNo,type,stim1,stim2,stimPos,ITI,stimFormat,feedbackIncorrect,feedbackTime,head,responseType,responseOptions,if,then,fixation,button1,keyboard,key,cursor,random,trialType,correctSide,task,stimPos_actual,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
2,form,"","","","","","","",What is the highest level of education you completed?,dropdown,Less than High School; High School or Equivalent; College or Technical School; Bachelor's Degree; Master's Degree or Higher,Less than High School,screenout,"",Submit,"","","","","","","","",,"","",49332,Bachelor's Degree,3712,"0","4"
69,test,chickSmall,horseLarge,-342 0; 342 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-342 0;342 0,699,84,"8.32",89348,f,562,"1",""
245,test,joystickSmall,fountainLarge,-364 0; 364 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-364 0;364 0,699,84,"8.32",113376,f,550,"1",""
57,test,wolfSmall,bearLarge,-295 0; 295 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-295 0;295 0,699,84,"8.32",114557,f,482,"1",""
124,test,shelfLarge,lampSmall,-235 0; 235 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-235 0;235 0,698,84,"8.32",115864,j,609,"1",""
99,test,trunkSmall,scissorsLarge,-198 0; 198 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-198 0;198 0,699,84,"8.32",117093,f,531,"1",""
30,test,rabbitLarge,tigerSmall,-306 0; 306 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-306 0;306 0,699,84,"8.32",118649,j,864,"1",""
198,test,tricycleLarge,helicopterSmall,-356 0; 356 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-356 0;356 0,698,84,"8.32",120023,j,684,"1",""
238,test,keyLarge,trashbinSmall,-202 0; 202 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-202 0;202 0,699,84,"8.31",121384,j,663,"1",""
206,test,skateboardLarge,airplaneSmall,-335 0; 335 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-335 0;335 0,699,84,"8.32",122923,j,846,"1",""
183,test,cookieSmall,pizzaLarge,-300 0; 300 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-300 0;300 0,699,84,"8.32",124289,f,674,"1",""
33,test,squirrelSmall,gorillaLarge,-306 0; 306 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-306 0;306 0,698,84,"8.32",125563,f,582,"1",""
253,test,headphonesSmall,tentLarge,-322 0; 322 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-322 0;322 0,698,84,"8.31",127031,f,770,"1",""
54,test,goldfishLarge,dolphinSmall,-341 0; 341 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-341 0;341 0,699,84,"8.32",128233,j,508,"1",""
18,test,mouseLarge,lionSmall,-334 0; 334 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-334 0;334 0,699,84,"8.32",129673,j,741,"1",""
116,test,tableLarge,hairdryerSmall,-350 0; 350 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-350 0;350 0,699,84,"8.31",131055,j,685,"1",""
85,test,antSmall,giraffeLarge,-317 0; 317 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-317 0;317 0,699,84,"8.32",132392,f,641,"1",""
107,test,ladderSmall,hammerLarge,-156 0; 156 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-156 0;156 0,698,84,"8.32",133609,f,519,"1",""
236,test,trashbinLarge,keySmall,-208 0; 208 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-208 0;208 0,699,84,"8.32",134725,j,419,"1",""
160,test,pumpkinLarge,mushroomSmall,-304 0; 304 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-304 0;304 0,699,84,"8.32",136137,j,718,"1",""
150,test,strawberryLarge,pomegranateSmall,-286 0; 286 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-286 0;286 0,699,84,"8.32",137346,j,513,"1",""
222,test,houseLarge,leafSmall,-337 0; 337 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-337 0;337 0,699,84,"8.32",138592,j,552,"1",""
20,test,alligatorLarge,shrimpSmall,-337 0; 337 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-337 0;337 0,699,84,"8.32",140436,j,1148,"1",""
136,test,watermelonLarge,apricotSmall,-302 0; 302 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-302 0;302 0,699,84,"8.32",141710,j,576,"1",""
242,test,popsicleLarge,guitarSmall,-153 0; 153 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-153 0;153 0,699,84,"8.32",143051,j,644,"1",""
252,test,tentLarge,headphonesSmall,-322 0; 322 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-322 0;322 0,699,84,"8.31",144430,j,684,"1",""
117,test,hairdryerSmall,tableLarge,-350 0; 350 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-350 0;350 0,699,84,"8.32",145664,f,535,"1",""
123,test,shelfSmall,lampLarge,-235 0; 235 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-235 0;235 0,699,84,"8.32",146903,f,544,"1",""
243,test,fountainSmall,joystickLarge,-363 0; 363 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-363 0;363 0,699,84,"8.32",148090,f,491,"1",""
48,test,zebraLarge,duckSmall,-311 0; 311 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-311 0;311 0,698,84,"8.32",149248,j,460,"1",""
178,test,green beanLarge,cornSmall,-349 0; 349 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-349 0;349 0,699,84,"8.32",150573,j,629,"1",""
137,test,apricotSmall,watermelonLarge,-302 0; 302 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-302 0;302 0,699,84,"8.32",151862,f,596,"1",""
22,test,shrimpLarge,alligatorSmall,-335 0; 335 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-335 0;335 0,699,84,"8.32",153299,j,743,"1",""
52,test,dolphinLarge,goldfishSmall,-341 0; 341 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-341 0;341 0,698,84,"8.32",154883,j,887,"1",""
75,test,sheepSmall,beeLarge,-319 0; 319 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-319 0;319 0,699,84,"8.32",156342,f,767,"1",""
93,test,kittySmall,donkeyLarge,-309 0; 309 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-309 0;309 0,699,84,"8.32",157504,f,464,"1",""
227,test,skyscraperSmall,graterLarge,-211 0; 211 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-211 0;211 0,699,84,"8.32",159266,f,1069,"1",""
151,test,orangeSmall,raspberryLarge,-308 0; 308 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-308 0;308 0,699,84,"8.31",160423,f,464,"1",""
250,test,beltLarge,cannonSmall,-353 0; 353 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-353 0;353 0,699,84,"8.32",162115,j,999,"1",""
162,test,mushroomLarge,pumpkinSmall,-302 0; 302 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-302 0;302 0,699,84,"8.32",163328,j,515,"1",""
249,test,beltSmall,cannonLarge,-353 0; 353 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-353 0;353 0,699,84,"8.32",164502,f,475,"1",""
240,test,guitarLarge,popsicleSmall,-155 0; 155 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-155 0;155 0,699,84,"8.31",165584,j,384,"1",""
87,test,deerSmall,frogLarge,-299 0; 299 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-299 0;299 0,698,84,"8.32",167240,f,957,"1",""
210,test,boatLarge,shipSmall,-336 0; 336 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-336 0;336 0,699,84,"8.32",168397,j,460,"1",""
144,test,pineappleLarge,cherrySmall,-226 0; 226 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-226 0;226 0,699,84,"8.32",169560,j,466,"1",""
235,test,trashbinSmall,keyLarge,-202 0; 202 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-202 0;202 0,699,84,"8.32",170981,f,723,"1",""
254,test,headphonesLarge,tentSmall,-317 0; 317 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-317 0;317 0,699,84,"8.32",172138,j,458,"1",""
225,test,lighterSmall,treeLarge,-208 0; 208 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-208 0;208 0,699,84,"8.32",173443,f,607,"1",""
190,test,croissantLarge,breadSmall,-341 0; 341 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-341 0;341 0,699,84,"8.32",174725,j,591,"1",""
167,test,cauliflowerSmall,onionLarge,-321 0; 321 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-321 0;321 0,699,84,"8.32",175894,f,470,"1",""
77,test,beeSmall,sheepLarge,-321 0; 321 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-321 0;321 0,698,84,"8.31",177088,f,499,"1",""
174,test,oliveLarge,lettuceSmall,-363 0; 363 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-363 0;363 0,699,84,"8.32",178702,j,916,"1",""
184,test,cookieLarge,pizzaSmall,-301 0; 301 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-301 0;301 0,699,84,"8.32",179983,j,583,"1",""
38,test,butterflyLarge,elephantSmall,-328 0; 328 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-328 0;328 0,699,84,"8.32",181256,j,575,"1",""
246,test,joystickLarge,fountainSmall,-363 0; 363 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-363 0;363 0,699,84,"8.32",182579,j,625,"1",""
139,test,coconutSmall,blueberryLarge,-309 0; 309 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-309 0;309 0,699,84,"8.32",183748,f,471,"1",""
114,test,trayLarge,bedSmall,-350 0; 350 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-350 0;350 0,699,84,"8.32",185112,j,671,"1",""
156,test,melonLarge,plumSmall,-330 0; 330 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-330 0;330 0,699,84,"8.32",186305,j,498,"1",""
126,test,lampLarge,shelfSmall,-235 0; 235 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-235 0;235 0,699,84,"8.31",187581,j,578,"1",""
74,test,cricketLarge,walrusSmall,-369 0; 369 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-369 0;369 0,699,84,"8.32",189158,f,883,"0",""
76,test,sheepLarge,beeSmall,-321 0; 321 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-321 0;321 0,699,84,"8.32",195392,j,537,"1",""
191,test,truckSmall,mopedLarge,-312 0; 312 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-312 0;312 0,699,84,"8.32",196948,j,861,"0",""
31,test,gorillaSmall,squirrelLarge,-306 0; 306 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-306 0;306 0,699,84,"8.32",203099,f,457,"1",""
53,test,goldfishSmall,dolphinLarge,-341 0; 341 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-341 0;341 0,699,84,"8.32",204319,f,529,"1",""
130,test,backpackLarge,dishwasherSmall,-262 0; 262 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-262 0;262 0,699,84,"8.32",205696,j,683,"1",""
128,test,dishwasherLarge,backpackSmall,-259 0; 259 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-259 0;259 0,699,84,"8.32",207147,j,753,"1",""
64,test,pandaLarge,chickenSmall,-333 0; 333 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-333 0;333 0,699,84,"8.32",208666,j,825,"1",""
95,test,sofaSmall,microwaveLarge,-353 0; 353 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-353 0;353 0,699,84,"8.32",210207,f,843,"1",""
110,test,hammerLarge,ladderSmall,-156 0; 156 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-156 0;156 0,699,84,"8.32",211744,j,842,"1",""
59,test,cowSmall,hedgehogLarge,-358 0; 358 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-358 0;358 0,699,84,"8.32",213167,f,725,"1",""
109,test,hammerSmall,ladderLarge,-167 0; 167 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-167 0;167 0,699,84,"8.32",214802,f,938,"1",""
177,test,green beanSmall,cornLarge,-348 0; 348 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-348 0;348 0,699,84,"8.32",216194,f,699,"1",""
229,test,graterSmall,skyscraperLarge,-220 0; 220 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-220 0;220 0,699,84,"8.32",218371,f,1479,"1",""
27,test,tigerSmall,rabbitLarge,-306 0; 306 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-306 0;306 0,698,84,"8.32",220266,f,1203,"1",""
171,test,lettuceSmall,oliveLarge,-363 0; 363 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-363 0;363 0,699,84,"8.32",221746,f,785,"1",""
91,test,donkeySmall,kittyLarge,-317 0; 317 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-317 0;317 0,699,84,"8.32",224228,f,1789,"1",""
122,test,toasterLarge,armchairSmall,-312 0; 312 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-312 0;312 0,698,84,"8.32",225437,j,517,"1",""
24,test,hippoLarge,turtleSmall,-366 0; 366 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-366 0;366 0,699,84,"8.32",226759,j,626,"1",""
201,test,bikeSmall,schoolbusLarge,-370 0; 370 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-370 0;370 0,699,84,"8.32",228855,f,1399,"1",""
208,test,shipLarge,boatSmall,-335 0; 335 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-335 0;335 0,698,84,"8.32",230436,j,884,"1",""
